Date,Open,High,Low,Close,Volume
2022-05-20,325.3777,331.7357,323.5077,329.3047,28325659.0
2022-05-23,326.8737,327.8087,319.7678,324.2557,17034672.0
2022-05-24,320.5158,325.0037,314.5318,316.0278,19699960.0
2022-05-25,313.0358,317.7108,312.2878,312.2878,21553207.0
2022-05-26,313.2228,313.9708,308.5478,312.4748,18496371.0
2022-05-27,323.1337,325.1907,316.2148,319.5808,20760810.0
2022-05-30,323.3207,328.3697,322.0117,327.2477,22298377.0
2022-05-31,326.3127,339.4026,323.8817,338.8416,64756621.0
2022-06-01,338.4676,342.3946,334.5407,336.9716,26920272.0
2022-06-02,331.9227,337.1586,330.8007,335.6627,14182488.0
2022-06-06,338.4676,345.3866,332.8577,343.7036,23900121.0
2022-06-07,347.8176,350.4355,339.4026,343.7036,27086986.0
2022-06-08,350.6225,365.9564,348.9396,365.9564,47476909.0
2022-06-09,377.7374,380.3553,363.7125,369.1354,39147100.0
2022-06-10,359.4115,372.3144,358.1025,370.6314,29755765.0
2022-06-13,358.6635,361.6555,349.3136,352.4925,24938012.0
2022-06-14,348.1916,353.8015,343.5166,351.5575,16307664.0
2022-06-15,351.5575,357.3545,350.8095,355.1105,21242678.0
2022-06-16,351.5575,357.5415,340.3376,343.7036,22143706.0
2022-06-17,338.2806,350.2485,338.2806,345.3866,19483010.0
2022-06-20,345.9476,349.6876,340.8986,346.6956,11639693.0
2022-06-21,347.6306,356.2325,346.1346,356.2325,15013276.0
2022-06-22,356.0455,356.0455,345.9476,345.9476,13714137.0
2022-06-23,347.6306,354.7365,345.0126,350.6225,12620777.0
2022-06-24,354.7365,360.9075,349.8746,359.2245,18197838.0
2022-06-27,361.8425,374.1844,350.2485,353.6145,57400982.0
2022-06-28,348.5656,349.1266,333.2317,342.0206,58585070.0
2022-06-29,336.5976,346.3216,333.0447,341.2726,34975785.0
2022-06-30,336.5976,339.9636,330.9877,331.3617,33385197.0
2022-07-04,331.3617,333.2317,322.0117,324.4427,38455595.0
2022-07-05,325.3777,330.4267,324.8167,326.1257,19486553.0
2022-07-06,326.3127,330.0527,318.6458,325.0037,24822317.0
2022-07-07,320.8898,328.7437,320.5158,328.7437,18985683.0
2022-07-08,333.9797,333.9797,325.9387,329.6787,18754352.0
2022-07-11,322.0117,323.6947,318.0848,320.1418,20598133.0
2022-07-12,316.5888,318.6458,314.3448,315.8408,17307064.0
2022-07-13,316.5888,319.0198,313.2228,313.5968,17134245.0
2022-07-14,312.8488,315.4668,310.4178,313.2228,16774995.0
2022-07-15,308.5478,310.7918,302.1899,303.8729,26328504.0
2022-07-18,305.1819,312.1008,300.1329,310.9788,20372247.0
2022-07-19,309.8568,316.4018,308.5478,311.5398,12655564.0
2022-07-20,319.7678,320.5158,316.0278,316.5888,15982772.0
2022-07-21,313.2228,314.7188,307.7998,312.2878,19107287.0
2022-07-22,315.6538,317.5238,308.5478,310.4178,15081236.0
2022-07-25,308.1738,308.5478,300.6939,305.1819,16847756.0
2022-07-26,303.4989,308.9218,302.1899,307.9868,13863359.0
2022-07-27,303.8729,306.4909,299.1979,299.3849,19816350.0
2022-07-28,303.4989,304.6209,299.1979,299.9459,15349399.0
2022-07-29,299.9459,302.3769,285.173,286.856,37194352.0
2022-08-01,282.368,284.986,280.124,280.124,39993630.0
2022-08-02,276.0101,276.5711,269.2781,275.8231,42691346.0
2022-08-03,279.563,286.482,278.6281,282.929,27403685.0
2022-08-04,287.791,291.718,285.36,291.718,19792022.0
2022-08-05,293.0269,293.5879,284.425,287.604,16442481.0
2022-08-08,282.742,285.921,278.815,279.937,15046951.0
2022-08-09,280.498,284.612,277.1321,278.6281,14193448.0
2022-08-10,280.124,280.311,273.2051,276.3841,15358607.0
2022-08-11,279.75,284.799,278.815,283.864,14861997.0
2022-08-12,284.799,284.799,280.685,284.425,10981685.0
2022-08-15,282.181,285.921,279.563,280.872,11622138.0
2022-08-16,282.368,286.108,273.5791,283.303,23529966.0
2022-08-17,283.303,285.921,277.6931,283.49,17616313.0
